year,month,key,count
2011,8,6.5,0
2011,8,7,0
2011,8,7.5,0
2011,9,5,3
2011,9,5.5,1
2011,9,6,1
2011,9,6.5,0
2011,9,7,0
2011,9,7.5,0
2011,10,5,6
2011,10,5.5,1
2011,10,6,1
2011,10,6.5,1
2011,10,7,0
2011,10,7.5,0
2011,11,5,4
2011,11,5.5,1
2011,11,6,0
2011,11,6.5,0
2011,11,7,0
2011,11,7.5,0
2012,0,5,4
2012,0,5.5,1
2012,0,6,0
2012,0,6.5,0
2012,0,7,0
2012,0,7.5,0
2012,1,5,5
2012,1,5.5,1
2012,1,6,0
2012,1,6.5,1
2012,1,7,0
2012,1,7.5,0
2012,2,5,4
2012,2,5.5,1
2012,2,6,0
2012,2,6.5,0
2012,2,7,0
2012,2,7.5,0
2012,3,5,0
2012,3,5.5,1
2012,3,6,0
2012,3,6.5,0
2012,3,7,0
2012,3,7.5,0
2012,4,5,4
2012,4,5.5,2
2012,4,6,0
2012,4,6.5,0
2012,4,7,0
2012,4,7.5,0
2012,5,5,3
2012,5,5.5,3
2012,5,6,0
2012,5,6.5,0
2012,5,7,0
2012,5,7.5,0
2012,6,5,3
2012,6,5.5,2
2012,6,6,0
2012,6,6.5,0
2012,6,7,0
2012,6,7.5,0
2012,7,5,3
2012,7,5.5,1
2012,7,6,1
2012,7,6.5,0
2012,7,7,0
2012,7,7.5,0
2012,8,5,4
2012,8,5.5,1
2012,8,6,0
2012,8,6.5,0
2012,8,7,0
2012,8,7.5,0
2012,9,5,4
2012,9,5.5,1
2012,9,6,0
2012,9,6.5,0
2012,9,7,0
2012,9,7.5,1
2012,10,5,1
2012,10,5.5,0
2012,10,6,1
2012,10,6.5,0
2012,10,7,0
2012,10,7.5,0
2012,11,5,3
2012,11,5.5,2
2012,11,6,1
2012,11,6.5,0
2012,11,7,0
2012,11,7.5,0
2013,0,5,19
2013,0,5.5,7
2013,0,6,4
2013,0,6.5,1
2013,0,7,0
2013,0,7.5,1
2013,1,5,159
2013,1,5.5,46
2013,1,6,12
2013,1,6.5,7
2013,1,7,3
2013,1,7.5,1
2013,2,5,58
2013,2,5.5,19
2013,2,6,3
2013,2,6.5,2
2013,2,7,0
2013,2,7.5,0
2013,3,5,89
2013,3,5.5,21
2013,3,6,9
2013,3,6.5,4
2013,3,7,2
2013,3,7.5,1
2013,4,5,78
2013,4,5.5,21
2013,4,6,6
2013,4,6.5,1
2013,4,7,1
2013,4,7.5,0
2013,5,5,48
2013,5,5.5,16
2013,5,6,4
2013,5,6.5,2
2013,5,7,0
2013,5,7.5,0
2013,6,5,64
2013,6,5.5,19
2013,6,6,7
2013,6,6.5,2
2013,6,7,1
2013,6,7.5,0
2013,7,5,72
2013,7,5.5,20
2013,7,6,7
2013,7,6.5,2
2013,7,7,1
2013,7,7.5,0
2013,8,5,63
2013,8,5.5,18
2013,8,6,6
2013,8,6.5,3
2013,8,7,1
2013,8,7.5,1
2013,9,5,86
2013,9,5.5,11
2013,9,6,6
2013,9,6.5,4
2013,9,7,1
2013,9,7.5,0
2013,10,5,63
2013,10,5.5,21
2013,10,6,5
2013,10,6.5,0
2013,10,7,0
2013,10,7.5,0
2013,11,5,75
2013,11,5.5,17
2013,11,6,3
2013,11,6.5,0
2013,11,7,0
2013,11,7.5,0
2014,0,5,72
2014,0,5.5,17
2014,0,6,5
2014,0,6.5,1
2014,0,7,0
2014,0,7.5,0
2014,1,5,61
2014,1,5.5,12
2014,1,6,4
2014,1,6.5,4
2014,1,7,0
2014,1,7.5,0
2014,2,5,89
2014,2,5.5,29
2014,2,6,11
2014,2,6.5,3
2014,2,7,0
2014,2,7.5,0
2014,3,5,142
2014,3,5.5,31
2014,3,6,9
2014,3,6.5,6
2014,3,7,2
2014,3,7.5,3
2014,4,5,73
2014,4,5.5,29
2014,4,6,10
2014,4,6.5,3
2014,4,7,0
2014,4,7.5,0
2014,5,5,85
2014,5,5.5,18
2014,5,6,7
2014,5,6.5,5
2014,5,7,0
2014,5,7.5,1
2014,6,5,67
2014,6,5.5,16
2014,6,6,10
2014,6,6.5,4
2014,6,7,0
2014,6,7.5,0
2014,7,5,72
2014,7,5.5,19
2014,7,6,6
2014,7,6.5,1
2014,7,7,0
2014,7,7.5,0
2014,8,5,77
2014,8,5.5,18
2014,8,6,6
2014,8,6.5,1
2014,8,7,0
2014,8,7.5,0
2014,9,5,74
2014,9,5.5,17
2014,9,6,5
2014,9,6.5,0
2014,9,7,1
2014,9,7.5,0
2014,10,5,83
2014,10,5.5,19
2014,10,6,1
2014,10,6.5,3
2014,10,7,2
2014,10,7.5,0
2014,11,5,84
2014,11,5.5,21
2014,11,6,7
2014,11,6.5,3
2014,11,7,0
2014,11,7.5,0
