year,month,magValue,magCount,humanValue,humanCount,moneyValue,moneyCount
2013,3,7,2,1000,4,4,1
2013,3,7.5,1,10000,0,5,1
2013,4,5,78,0,47,0,48
2013,4,5.5,21,1,23,1,24
2013,4,6,6,10,17,2,24
2013,4,6.5,1,100,17,3,9
2013,4,7,1,1000,3,4,2
2013,4,7.5,0,10000,0,5,0
2013,5,5,48,0,38,0,34
2013,5,5.5,16,1,13,1,16
2013,5,6,4,10,14,2,14
2013,5,6.5,2,100,4,3,5
2013,5,7,0,1000,1,4,1
2013,5,7.5,0,10000,0,5,0
2013,6,5,64,0,41,0,42
2013,6,5.5,19,1,24,1,24
2013,6,6,7,10,14,2,18
2013,6,6.5,2,100,13,3,8
2013,6,7,1,1000,1,4,1
2013,6,7.5,0,10000,0,5,0
2013,7,5,72,0,53,0,50
2013,7,5.5,20,1,14,1,14
2013,7,6,7,10,18,2,24
2013,7,6.5,2,100,17,3,9
2013,7,7,1,1000,0,4,5
2013,7,7.5,0,10000,0,5,0
2013,8,5,63,0,40,0,43
2013,8,5.5,18,1,24,1,14
2013,8,6,6,10,11,2,24
2013,8,6.5,3,100,14,3,10
2013,8,7,1,1000,2,4,0
2013,8,7.5,1,10000,1,5,1
2013,9,5,86,0,45,0,45
2013,9,5.5,11,1,12,1,24
2013,9,6,6,10,31,2,26
2013,9,6.5,4,100,19,3,12
2013,9,7,1,1000,1,4,1
2013,9,7.5,0,10000,0,5,0
2013,10,5,63,0,39,0,39
2013,10,5.5,21,1,19,1,19
2013,10,6,5,10,19,2,22
2013,10,6.5,0,100,11,3,8
2013,10,7,0,1000,1,4,1
2013,10,7.5,0,10000,0,5,0
2013,11,5,75,0,41,0,49
2013,11,5.5,17,1,19,1,20
2013,11,6,3,10,15,2,18
2013,11,6.5,0,100,19,3,8
2013,11,7,0,1000,1,4,0
2013,11,7.5,0,10000,0,5,0
2014,0,5,72,0,43,0,45
2014,0,5.5,17,1,19,1,18
2014,0,6,5,10,15,2,22
2014,0,6.5,1,100,18,3,10
2014,0,7,0,1000,0,4,0
2014,0,7.5,0,10000,0,5,0
2014,1,5,61,0,44,0,30
2014,1,5.5,12,1,14,1,18
2014,1,6,4,10,12,2,17
2014,1,6.5,4,100,10,3,15
2014,1,7,0,1000,1,4,1
2014,1,7.5,0,10000,0,5,0
2014,2,5,89,0,50,0,54
2014,2,5.5,29,1,33,1,25
2014,2,6,11,10,25,2,38
2014,2,6.5,3,100,18,3,14
2014,2,7,0,1000,6,4,1
2014,2,7.5,0,10000,0,5,0
2014,3,5,142,0,81,0,83
2014,3,5.5,31,1,39,1,44
2014,3,6,9,10,38,2,38
2014,3,6.5,6,100,29,3,24
2014,3,7,2,1000,6,4,2
2014,3,7.5,3,10000,0,5,2
2014,4,5,73,0,45,0,55
2014,4,5.5,29,1,27,1,24
2014,4,6,10,10,14,2,28
2014,4,6.5,3,100,25,3,8
2014,4,7,0,1000,4,4,0
2014,4,7.5,0,10000,0,5,0
2014,5,5,85,0,51,0,39
2014,5,5.5,18,1,33,1,27
2014,5,6,7,10,13,2,35
2014,5,6.5,5,100,17,3,12
2014,5,7,0,1000,2,4,3
2014,5,7.5,1,10000,0,5,0
2014,6,5,67,0,41,0,40
2014,6,5.5,16,1,21,1,17
2014,6,6,10,10,17,2,24
2014,6,6.5,4,100,16,3,14
2014,6,7,0,1000,2,4,2
2014,6,7.5,0,10000,0,5,0
2014,7,5,72,0,36,0,36
2014,7,5.5,19,1,29,1,24
2014,7,6,6,10,22,2,30
2014,7,6.5,1,100,10,3,8
2014,7,7,0,1000,1,4,0
2014,7,7.5,0,10000,0,5,0
2014,8,5,77,0,53,0,46
2014,8,5.5,18,1,19,1,23
2014,8,6,6,10,15,2,22
2014,8,6.5,1,100,13,3,10
2014,8,7,0,1000,2,4,1
2014,8,7.5,0,10000,0,5,0
2014,9,5,74,0,40,0,47
2014,9,5.5,17,1,20,1,22
2014,9,6,5,10,21,2,17
2014,9,6.5,0,100,15,3,10
2014,9,7,1,1000,0,4,0
2014,9,7.5,0,10000,1,5,1
2014,10,5,83,0,48,0,52
2014,10,5.5,19,1,27,1,25
2014,10,6,1,10,16,2,22
2014,10,6.5,3,100,16,3,7
2014,10,7,2,1000,0,4,2
2014,10,7.5,0,10000,1,5,0
2014,11,5,84,0,51,0,50
2014,11,5.5,21,1,17,1,26
2014,11,6,7,10,27,2,23
2014,11,6.5,3,100,17,3,14
2014,11,7,0,1000,3,4,2
2014,11,7.5,0,10000,0,5,0
